experiment/deployment/params/cache_policy,experiment/pipeline/params/sleep_time_msec,start_timestamp,end_timestamp,avg,std,num_epochs_for_avg,avg_all_epochs,std_all_epochs,num_epochs,num_repetitions
3,200,05/03/22 14:57:28,05/03/22 15:21:14,247.1831740646691,1.7051947885512464,3,266.7215152180026,40.76567492899404,5,1
3,250,05/03/22 15:21:14,05/03/22 15:43:58,247.66692489533548,1.5187295967174845,3,253.12724746020103,12.818314050199323,5,1
3,300,05/03/22 15:43:58,05/03/22 16:06:40,247.84877658566498,0.5023925195090146,3,253.34935522439773,11.842234553601335,5,1
3,350,05/03/22 16:06:40,05/03/22 16:29:17,250.81192894767446,1.893886238688736,3,253.53385746280546,6.685410760255772,5,1
3,400,05/03/22 16:29:17,05/03/22 16:51:46,248.33370204766592,1.643929759130199,3,250.99827287359804,7.508886920214235,5,1
3,450,05/03/22 16:51:46,05/03/22 17:13:58,244.24276851266526,2.5355429066582174,3,247.48484368740174,11.119050983792729,5,1
3,500,05/03/22 17:13:58,05/03/22 17:36:38,245.7869619923343,0.7909606235238864,3,253.0821698115993,16.809170880372054,5,1
2,200,05/03/22 17:36:38,05/03/22 17:54:12,181.072212558002,10.045924648017621,3,191.81345095840516,16.964126357651335,5,1
2,250,05/03/22 17:54:12,05/03/22 18:10:28,175.6609248000071,2.4670376494620334,3,178.90656492480775,4.5220037511796525,5,1
2,300,05/03/22 18:10:28,05/03/22 18:31:37,275.92940628833213,20.410092212757966,3,236.5420872886025,50.88624862257556,5,1
2,350,05/03/22 18:31:37,05/03/22 18:51:07,203.21575862066916,8.271393663200513,3,216.85870677079947,17.89959662727091,5,1
2,400,05/03/22 18:51:07,05/03/22 19:11:21,225.35770189433728,0.5536965594017064,3,226.5475486794021,1.7920408034886977,5,1
2,450,05/03/22 19:11:21,05/03/22 19:33:56,252.12912853833404,0.22626292172306497,3,252.65025753399823,0.9039425502765749,5,1
2,500,05/03/22 19:33:56,05/03/22 19:58:44,280.4005279503326,1.2881098903523933,3,280.44741252240203,1.1805693087247275,5,1
4,200,05/03/22 19:58:44,05/03/22 20:13:23,150.83651637200091,5.169810396877222,3,158.5356621243991,18.277037173717755,5,1
4,250,05/03/22 20:13:23,05/03/22 20:29:06,155.2895461026686,3.209844292143065,3,170.88123120100062,34.050401361960795,5,1
4,300,05/03/22 20:29:06,05/03/22 20:45:20,169.63188492500436,1.012958178638889,3,176.12495241800207,13.15265009958971,5,1
4,350,05/03/22 20:45:20,05/03/22 21:03:17,195.71348051699655,0.12160301516818842,3,196.78938843279903,2.047721988800673,5,1
4,400,05/03/22 21:03:17,05/03/22 21:23:36,223.73811281233307,0.31497805628772046,3,224.98536415999698,2.456323343095852,5,1
4,450,05/03/22 21:23:36,05/03/22 21:46:05,251.34153914866815,0.1776582878066335,3,252.0897609148,1.4397091531512245,5,1
4,500,05/03/22 21:46:05,05/03/22 22:10:55,280.41044571166276,0.8071481904446751,3,280.3463694971986,1.006417975593074,5,1
5,200,05/03/22 22:10:55,05/03/22 22:26:37,149.65698229166932,5.009613627675398,3,170.67680231620034,27.299639469177894,5,1
5,250,05/03/22 22:26:37,05/03/22 22:42:22,150.74027289066967,1.9440576851349105,3,172.47688692520313,28.074783105784853,5,1
5,300,05/03/22 22:42:22,05/03/22 23:00:01,169.4179888816628,1.4252586666758165,3,193.14369705579884,29.929880567676665,5,1
5,350,05/03/22 23:00:01,05/03/22 23:18:03,197.50597396832987,0.532314742505919,3,197.6353315387998,0.5360513195805044,5,1
5,400,05/03/22 23:18:03,05/03/22 23:39:30,239.56045720466741,0.5853295518899052,3,241.1154686274007,11.581286389527971,5,1
5,450,05/03/22 23:39:30,05/04/22 00:02:51,251.36092322932868,0.2082726248410316,3,261.13466574159395,12.528312860531294,5,1
5,500,05/04/22 00:02:51,05/04/22 00:26:16,248.5991134380068,0.42531795887552004,3,263.3458349334047,18.13448853321918,5,1
